des_time,des_pos,des_vel,des_tau,meas_time,meas_pos,meas_vel,meas_tau
5.000000000000000000e-01,5.387923980808646124e-02,1.605071757687867862e-01,1.578632984274056517e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.100000000000000089e-01,5.545935714075904410e-02,1.554680651228273480e-01,1.499097439584191338e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.200000000000000178e-01,5.698606668192630204e-02,1.498277659980961352e-01,1.416300302994915883e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.300000000000000266e-01,5.845335774098629061e-02,1.435867127911051588e-01,1.330391313821989996e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.400000000000000355e-01,5.985523281841208937e-02,1.367471076384567108e-01,1.241526866250559774e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,6.118572535994787343e-02,1.293129351924784121e-01,1.149869771020289866e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.600000000000000533e-01,6.243891763629453445e-02,1.212899729442829672e-01,1.055588928418774858e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.700000000000000622e-01,6.360895870202550040e-02,1.126857967492268242e-01,9.588590170250640976e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.799999999999999600e-01,6.469008238616057171e-02,1.035097816369399820e-01,8.598602108786625176e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.899999999999999689e-01,6.567662526794192102e-02,9.377309804693281792e-02,7.587777821473425111e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-01,6.656304458995024320e-02,8.348870306785388662e-02,6.558017941835597719e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.099999999999999867e-01,6.734393606062188953e-02,7.267132708635475058e-02,5.511267969419516438e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.199999999999999956e-01,6.801405150055980786e-02,6.133745590607023179e-02,4.449513543767710105e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.300000000000000044e-01,6.856831628426805769e-02,4.950530772411784047e-02,3.374777461719589977e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.400000000000000133e-01,6.900184652970223209e-02,3.719480572922338052e-02,2.289116054128345276e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000000222e-01,6.930996599092620336e-02,2.442754613749953396e-02,1.194614600700512688e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.600000000000000311e-01,6.948822260672027351e-02,1.122676136091886774e-02,9.338414100815732241e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.700000000000000400e-01,6.953240465968590911e-02,-2.382721047272197412e-03,-1.012443192672587630e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.800000000000000488e-01,6.943855650111066535e-02,-1.637452416997670079e-02,-2.120717392484477992e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.900000000000000577e-01,6.920299379774912107e-02,-3.072077154916661931e-02,-3.229275729581590482e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000666e-01,6.882231825669783698e-02,-4.539214172625093136e-02,-4.335945789667754874e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.099999999999999645e-01,6.829343178596933295e-02,-6.035792654365209481e-02,-5.438550181729638611e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.199999999999999734e-01,6.761355005036655264e-02,-7.558609376358529919e-02,-6.534910896130313729e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.299999999999999822e-01,6.678021538078228458e-02,-9.104335374389639635e-02,-7.622853325106559996e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.399999999999999911e-01,6.579130899764844276e-02,-1.066952299110145164e-01,-8.700210099579554213e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,6.464506251157681183e-02,-1.225061328266505989e-01,-9.764825643254233800e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.600000000000000089e-01,6.334006866449241879e-02,-1.384394379993459379e-01,-1.081456047833685707e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.700000000000000178e-01,6.187529127501399662e-02,-1.544575671993562160e-01,-1.184729544595581052e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.800000000000000266e-01,6.025007435395368649e-02,-1.705220730947265007e-01,-1.286093531937979317e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.900000000000000355e-01,5.846415035870271282e-02,-1.865937268120020365e-01,-1.385341374955151028e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000444e-01,5.651764755538727508e-02,-2.026326087939550602e-01,-1.482269707596598485e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.100000000000000533e-01,5.441109645892810986e-02,-2.185982023327620594e-01,-1.576678802167310878e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.200000000000000622e-01,5.214543532534299253e-02,-2.344494895587772021e-01,-1.668373037367711365e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.300000000000000711e-01,4.972201467066372782e-02,-2.501450500979277014e-01,-1.757161270369754780e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.399999999999999689e-01,4.714260079263889180e-02,-2.656431618252451665e-01,-1.842857235640558977e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.499999999999999778e-01,4.440937827469641774e-02,-2.809019036261824476e-01,-1.925279917818662756e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.599999999999999867e-01,4.152495145361455309e-02,-2.958792598592771550e-01,-2.004253938999469575e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.699999999999999956e-01,3.849234483464220036e-02,-3.105332263680392058e-01,-2.079609962502988740e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.800000000000000044e-01,3.531500243932645527e-02,-3.248219178908297033e-01,-2.151185015163626923e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.900000000000000133e-01,3.199678607481040715e-02,-3.387036763192329825e-01,-2.218822856532925991e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000222e-01,2.854197251632033944e-02,-3.521371797629821998e-01,-2.282374329858518069e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.100000000000000311e-01,2.495524959631564149e-02,-3.650815521127608321e-01,-2.341697660139693271e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.200000000000000400e-01,2.124171119758033049e-02,-3.774964726486782496e-01,-2.396658834919588865e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.300000000000000488e-01,1.740685114936604827e-02,-3.893422857802005810e-01,-2.447131845664518857e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.400000000000000577e-01,1.345655602930190958e-02,-4.005801101113909413e-01,-2.492999023620369181e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.500000000000000666e-01,9.397096877178205687e-03,-4.111719469588814291e-01,-2.534151307429401978e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.599999999999999645e-01,5.235119828702636778e-03,-4.210807877974083735e-01,-2.570488487720632986e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.699999999999999734e-01,9.776356816726637644e-04,-4.302707202892411820e-01,-2.601919479828129766e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.799999999999999822e-01,-3.367991590584991368e-03,-4.387070327597666908e-01,-2.628362508245810636e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.899999999999999911e-01,-7.794057359964492310e-03,-4.463563165191117288e-01,-2.649745398257368212e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,-1.229252987790781931e-02,-4.531865662156976393e-01,-2.666005641542236182e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.010000000000000009e+00,-1.685506479791791176e-02,-4.591672770815051208e-01,-2.677090723708872577e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.020000000000000018e+00,-2.147302065926778511e-02,-4.642695398882612512e-01,-2.682958091615828544e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.030000000000000027e+00,-2.613747530070286568e-02,-4.684661319548062974e-01,-2.683575488985752155e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.040000000000000036e+00,-3.083924317097137477e-02,-4.717316054711949147e-01,-2.678920891558000950e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.050000000000000044e+00,-3.556889350034705966e-02,-4.740423713421716978e-01,-2.668982699771421108e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.060000000000000053e+00,-4.031676929258003195e-02,-4.753767794002298763e-01,-2.653759712927515335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.070000000000000062e+00,-4.507300709575969705e-02,-4.757151939491271464e-01,-2.633261306700184212e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.080000000000000071e+00,-4.982755750870920819e-02,-4.750400653031461307e-01,-2.607507303069739879e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.090000000000000080e+00,-5.457020637604882707e-02,-4.733359959619597435e-01,-2.576528075519985417e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000089e+00,-5.929059662242637530e-02,-4.705898022521365909e-01,-2.540364454825723151e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.110000000000000098e+00,-6.397825067611878636e-02,-4.667905705466220967e-01,-2.499067738963395291e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.120000000000000107e+00,-6.862259342950137453e-02,-4.619297084086755878e-01,-2.452699567927391910e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.130000000000000115e+00,-7.321297568266120492e-02,-4.560009900704253827e-01,-2.401331828961557890e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.140000000000000124e+00,-7.773869801395295875e-02,-4.490005963398276956e-01,-2.345046602254198531e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.150000000000000133e+00,-8.218903502253403770e-02,-4.409271490898273860e-01,-2.283935955485867919e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.159999999999999920e+00,-8.655325988572265539e-02,-4.317817397377309296e-01,-2.218101785692892236e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
